S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
4,"Construction Of Community Halls, Village Roads, Drainages, Bus Shelters Etc.",Rural Development Projects,Maharashtra,Nec/ Not Mentioned,4,4,Directly by company,FY 2018-19,Jsw Steel Limited
5,"Children&Rsquo;S Observation Home, Support To Old Age Home, Battery Operated Transport For Senior Ci",Socio-Economic Equalities,Maharashtra,Nec/ Not Mentioned,2,2,Directly by company,FY 2018-19,Jsw Steel Limited
6,Iit-Monash,Socio-Economic Equalities,Maharashtra,Nec/ Not Mentioned,1,1,Directly by company,FY 2018-19,Jsw Steel Limited
7,Overheads (Restricted To 5% Ofthe Total Csr Expenditure),Socio-Economic Equalities,Maharashtra,Nec/ Not Mentioned,3,3,Directly by company,FY 2018-19,Jsw Steel Limited
8,Sports Excellence Programs; Domestic/ International Training / Medical Support,Training To Promote Sports,Pan India,Nec/ Not Mentioned,5,5,Directly by company,FY 2018-19,Jsw Steel Limited
9,School Toilets & Community Toilets,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,3,3,Directly by company,FY 2018-19,Jsw Steel Limited
10,School Infrastructure Development And Enhancement Of Quality Education; Nehru Science Centre Lecture,Socio-Economic Equalities,Uttarakhand,Nec/ Not Mentioned,11,11,Directly by company,FY 2018-19,Jsw Steel Limited
,Grand Total (INR Cr.),,,,63,0,,FY 2018-19,Jsw Steel Limited
1,"Conservation Of Hampi, Restoration Of Various Historical Monuments",Art And Culture,Maharashtra,Nec/ Not Mentioned,1,1,Directly by company,FY 2017-18,Jsw Steel Limited
2,"Watershed Management, Conservation Of Natural Resources, Ree Plantation, School Sanitation Program,",Environmental Sustainability,Maharashtra,Nec/ Not Mentioned,1,1,Directly by company,FY 2017-18,Jsw Steel Limited
3,"Malnourishment Project, Mid-Daymeals, Leprosy Project, General Health & Cataract Camps, Drinking Wat",Livelihood Enhancement Projects,Maharashtra,Nec/ Not Mentioned,17,16,Directly by company,FY 2017-18,Jsw Steel Limited
4,Staff Salaries,Livelihood Enhancement Projects,Maharashtra,Nec/ Not Mentioned,3,3,Directly by company,FY 2017-18,Jsw Steel Limited
5,"Construction Of Community Halls, Village Roads, Drainages, Bus Shelters Etc.",Rural Development Projects,Maharashtra,Nec/ Not Mentioned,6,6,Directly by company,FY 2017-18,Jsw Steel Limited
6,"Children&Rsquo;S Observation Home, Support To Old Age Home, Battery Operated Transport For Senior Ci",Socio-Economic Equalities,Maharashtra,Nec/ Not Mentioned,1,1,Directly by company,FY 2017-18,Jsw Steel Limited
7,Sports Excellence Programs; Domestic/ International Training / Medical Support,Training To Promote Sports,Pan India,Nec/ Not Mentioned,6,5,Directly by company,FY 2017-18,Jsw Steel Limited
8,School Toilets & Community Toilets,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,3,3,Directly by company,FY 2017-18,Jsw Steel Limited
9,School Infrastructure Development And Enhancement Of Quality Education; Nehru Science Centre Lecture,Socio-Economic Equalities,Uttarakhand,Nec/ Not Mentioned,19,17,Directly by company,FY 2017-18,Jsw Steel Limited
,Grand Total (INR Cr.),,,,57,0,,FY 2017-18,Jsw Steel Limited
1,Iit-Monash,Technology Incubators,Maharashtra,Mumbai City,0.72,0.72,Directly by company,FY 2016-17,Jsw Steel Limited
2,"Conservation Of Hampi, Restoration Of Various Historical Monuments",Art And Culture,Maharashtra,Nec/ Not Mentioned,0.66,0.6,Directly by company,FY 2016-17,Jsw Steel Limited
3,"Watershed Management, Conservation Of Natural Resources, Ree Plantation, School Sanitation Program,",Environmental Sustainability,Maharashtra,Nec/ Not Mentioned,2.92,2.81,Directly by company,FY 2016-17,Jsw Steel Limited
4,"Malnourishment Project, Mid-Daymeals, Leprosy Project, General Health & Cataract Camps, Drinking Wat",Livelihood Enhancement Projects,Maharashtra,Nec/ Not Mentioned,12.11,11.72,Directly by company,FY 2016-17,Jsw Steel Limited
5,Staff Salaries,Livelihood Enhancement Projects,Maharashtra,Nec/ Not Mentioned,2.19,3.38,Directly by company,FY 2016-17,Jsw Steel Limited
6,Construction Of Community Halls Village Roads Drainages Bus Shelters Etc,Rural Development Projects,Maharashtra,Nec/ Not Mentioned,5.71,5.7,Directly by company,FY 2016-17,Jsw Steel Limited
7,"Children&Rsquo;S Observation Home, Support To Old Age Home, Battery Operated Transport For Senior Ci",Socio-Economic Equalities,Maharashtra,Nec/ Not Mentioned,2.23,1.93,Directly by company,FY 2016-17,Jsw Steel Limited
8,Sports Excellence Programs; Domestic/ International Training / Medical Support,Training To Promote Sports,Pan India,Nec/ Not Mentioned,2.45,2.43,Directly by company,FY 2016-17,Jsw Steel Limited
9,School Toilets & Community Toilets,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,3.57,3.38,Directly by company,FY 2016-17,Jsw Steel Limited
10,School Infrastructure Development And Enhancement Of Quality Education; Nehru Science Centre Lecture,Socio-Economic Equalities,Uttarakhand,Nec/ Not Mentioned,12.4,11.51,Directly by company,FY 2016-17,Jsw Steel Limited
,Grand Total (INR Cr.),,,,44.96,0,,FY 2016-17,Jsw Steel Limited
1,Iit-Monash,Technology Incubators,Maharashtra,Nec/ Not Mentioned,0.7,0.71,Other implementing agencies,FY 2015-16,Jsw Steel Limited
2,"Conservation Of Hampi, Restoration Of Various Historical Monuments",Art And Culture,Pan India,Nec/ Not Mentioned,1,0.84,Other implementing agencies,FY 2015-16,Jsw Steel Limited
3,"Watershed Management, Conservation Of Natural Resources, Tree Plantation, School Sanitation Program,",Environmental Sustainability,Pan India,Nec/ Not Mentioned,2.42,1.97,Other implementing agencies,FY 2015-16,Jsw Steel Limited
4,,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2015-16,Jsw Steel Limited
5,"Malnourishment Project, Mid-Day Meals, Leprosy Project, General Health & Cataract Camps, Drinking Wa","Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,13.39,11.89,Other implementing agencies,FY 2015-16,Jsw Steel Limited
6,"Construction Of Community Halls, Village Roads, Drainages, Bus Shelters Etc.",Rural Development Projects,Pan India,Nec/ Not Mentioned,8.23,7.8,Other implementing agencies,FY 2015-16,Jsw Steel Limited
7,"Children&Rsquo;S Observation Home, Support To Old Age Home, Battery Operated Transport For Senior Ci",Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,0.63,1.15,Other implementing agencies,FY 2015-16,Jsw Steel Limited
8,"School Infrastructure Development And Enhancement Of Quality Education, Nehru Science Centre Lecture",Special Education,Pan India,Nec/ Not Mentioned,17.08,15.65,Other implementing agencies,FY 2015-16,Jsw Steel Limited
9,"Sports Excellence Programs, Domestic/ International Training / Medical Support",Training To Promote Sports,Pan India,Nec/ Not Mentioned,4.08,4.53,Other implementing agencies,FY 2015-16,Jsw Steel Limited
10,Staff Salaries,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,2.85,2.56,Directly by company,FY 2015-16,Jsw Steel Limited
11,Prime Ministers National Relief Fund,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.13,0,Other implementing agencies,FY 2015-16,Jsw Steel Limited
12,School Toilets & Community Toilets,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,5.49,4.26,Other implementing agencies,FY 2015-16,Jsw Steel Limited
,Grand Total (INR Cr.),,,,56,0,,FY 2015-16,Jsw Steel Limited
1,Heritage Art And Culture,Art And Culture,Maharashtra,Nec/ Not Mentioned,0.83,0.83,Directly by company,FY 2014-15,Jsw Steel Limited
2,Health Eradicating Hunger Poverty And Malnutrition Safe Drinking Water Sanitation,Livelihood Enhancement Projects,Maharashtra,Thane,7.36,7.36,Directly by company,FY 2014-15,Jsw Steel Limited
3,Environment Animal Welfare Conservation Of Resources,Environmental Sustainability,Pan India,Nec/ Not Mentioned,2.88,2.88,Directly by company,FY 2014-15,Jsw Steel Limited
4,Others (Staff Salary),Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,1.16,1.16,Nec/ Not mentioned,FY 2014-15,Jsw Steel Limited
5,Education Differently Abled Livelihood,Rural Development Projects,Pan India,Nec/ Not Mentioned,13.84,13.84,Directly by company,FY 2014-15,Jsw Steel Limited
6,Rural Development,Rural Development Projects,Pan India,Nec/ Not Mentioned,14.63,14.63,Directly by company,FY 2014-15,Jsw Steel Limited
7,Gender Equality Women Empowerment Old Age Homes Reducing Inequalities,Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,0.96,0.96,Directly by company,FY 2014-15,Jsw Steel Limited
8,Encouraging Sports,Training To Promote Sports,Pan India,Nec/ Not Mentioned,1.73,1.73,Directly by company,FY 2014-15,Jsw Steel Limited
,Grand Total (INR Cr.),,,,43.39,0,,FY 2014-15,Jsw Steel Limited
1,Awareness Campaign On Anemia Reduction,Health Care,Andhra Pradesh,Visakhapatnam,0,0.06,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
2,Eye Screening Camps At Govt. Schools,Health Care,Andhra Pradesh,Visakhapatnam,0,0.11,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
3,Multi Skill Trianing,Special Education,Andhra Pradesh,Visakhapatnam,0,1.23,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
4,Community Based Study Centres,Education,Delhi,Central Delhi,0,0.13,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
5,"Skills Development Training For Rural Youth, Ahmedabad",Special Education,Gujarat,Ahmedabad,0,3.99,Directly by Company,FY 2023-24,Larsen And Toubro Limited
6,Installation Of Water Vending Atm Machine,Environmental Sustainability,Gujarat,Nec/ Not Mentioned,0,0.23,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
7,Library Intervention For Improving Reading Skills Of The Students,Education,Gujarat,Surat,0,0.39,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
8,Support For Education To Vulnerable Children,Education,Gujarat,Surat,0,0.28,Directly by Company,FY 2023-24,Larsen And Toubro Limited
9,Menstrual Hygiene Management For Girl Students,Health Care,Gujarat,Surat,0,0.1,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
10,Providing Ground Water Recharge Systems In Community,Rural Development Projects,Gujarat,Surat,0,1.09,Directly by Company,FY 2023-24,Larsen And Toubro Limited
11,"Computer Labs In Schools, Surat",Special Education,Gujarat,Surat,0,1.65,Directly by Company,FY 2023-24,Larsen And Toubro Limited
12,Skill Building Initiatives (Nursing),Vocational Skills,Gujarat,Surat,0,0.01,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
13,Education Development Program,Education,Gujarat,Vadodara,0,0.49,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
14,Enhancing Rural Livelihood - Capacity Building And Training,Education,Gujarat,Vadodara,0,0.77,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
15,School Development Program,Education,Gujarat,Vadodara,0,0.98,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
16,Miyawaki Plantenance,Environmental Sustainability,Gujarat,Vadodara,0,0.76,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
17,Construction Of Sanitary Block For Girls,Livelihood Enhancement Projects,Gujarat,Vadodara,0,0.24,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
18,Divyang Manch Construction At Mook Dhwani School,Special Education,Gujarat,Vadodara,0,0.32,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
19,Madhymik Shiksha,Special Education,Gujarat,Vadodara,0,0.07,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
20,School On Wheels,Special Education,Gujarat,Vadodara,0,0.23,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
21,"Skills Development Training For Rural Youth, Bangalore",Special Education,Karnataka,Nec/ Not Mentioned,0,5.8,Directly by Company,FY 2023-24,Larsen And Toubro Limited
22,"Educational Support For Vulnerable Children, Pathardi",Education,Maharashtra,Ahmednagar,0,0.35,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
23,Dpr For Icd Project At Shirodi Fy23-24,Rural Development Projects,Maharashtra,Aurangabad,0,0.04,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
24,Bird Attracting Miyawaki Forest,Animal Welfare,Maharashtra,Mumbai City,0,0.15,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
25,"Axf Flc In Bandra, Santacruz And Powai Fy 23-24",Education,Maharashtra,Mumbai City,0,0.55,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
26,Ctf Teaching Through Play Way Method For Fy 23-24,Education,Maharashtra,Mumbai City,0,0.21,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
27,Engineering Futures-Creast Stem Program - Mumbai-Sjts,Education,Maharashtra,Mumbai City,0,0.37,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
28,Infrastructure Support For Community Development,Education,Maharashtra,Mumbai City,0,0.02,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
29,Monitoring Cost Of Csr Project Fy23-24,Education,Maharashtra,Mumbai City,0,0.96,Directly by Company,FY 2023-24,Larsen And Toubro Limited
30,Pratham Pmei Asalpha Fy 23-24,Education,Maharashtra,Mumbai City,0,1.19,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
31,Promotion Of Art With School Children- 2023-24,Education,Maharashtra,Mumbai City,0,0.15,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
32,"Skill Training Academy, Madh",Education,Maharashtra,Mumbai City,0,2.39,Directly by Company,FY 2023-24,Larsen And Toubro Limited
33,Stci Study Centre Support To Community Learning Centres Education Fy 23-24,Education,Maharashtra,Mumbai City,0,0.87,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
34,The Society For Door Step School Fy 23-24,Education,Maharashtra,Mumbai City,0,0.11,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
35,Maintenance Of Public Green Spaces,Environmental Sustainability,Maharashtra,Mumbai City,0,1.15,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
36,Emotional Development & Career Guidance,Health Care,Maharashtra,Mumbai City,0,0.42,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
37,Accesslife Assistance Foundation Fy 23-24,"Poverty, Eradicating Hunger, Malnutrition",Maharashtra,Mumbai City,0,0.49,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
38,Menstrual Health And Hygiene Awareness,Sanitation,Maharashtra,Mumbai City,0,0.24,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
39,Stem Education Project In Urban Schools,Education,Maharashtra,Nec/ Not Mentioned,0,1.4,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
40,Andheri Health Centre 2023-24,Health Care,Maharashtra,Nec/ Not Mentioned,0,6.1,Directly by Company,FY 2023-24,Larsen And Toubro Limited
41,Cancer Screening Camps Fy23-24,Health Care,Maharashtra,Nec/ Not Mentioned,0,0.38,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
42,"Integrated Community Development Programme, Nagzari",Rural Development Projects,Maharashtra,Nec/ Not Mentioned,0,5.11,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
43,"Dpr For Icd Project At Palasgaon, Mangaon Fy23-24",Rural Development Projects,Maharashtra,Raigad,0,0.04,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
44,Skills Development Training For Rural Youth Panvel Fy2023-2024,Vocational Skills,Maharashtra,Raigad,0,4.1,Directly by Company,FY 2023-24,Larsen And Toubro Limited
45,Environment Health Improvement Program,Environmental Sustainability,Maharashtra,Thane,0,0.94,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
46,Health And Nutrition At Child Care Centre,Health Care,Maharashtra,Thane,0,0.15,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
47,"Skills Development Training For Rural Youth, Odisha Fy2023-24",Vocational Skills,Odisha,Nec/ Not Mentioned,0,10.08,Directly by Company,FY 2023-24,Larsen And Toubro Limited
48,Support To Tribal School,Education,Odisha,Sundargarh,0,2.79,Directly by Company,FY 2023-24,Larsen And Toubro Limited
49,Awareness And Engagement With Communities Fy 23-24,Education,Pan India,Nec/ Not Mentioned,0,0.82,Directly by Company,FY 2023-24,Larsen And Toubro Limited
50,Infrastructural Support To Government School (Furniture & Playground),Education,Pan India,Nec/ Not Mentioned,0,0.7,Directly by Company,FY 2023-24,Larsen And Toubro Limited
51,"Infrastructure Development At Government Schools, West (Water Facilities & Computer)",Education,Pan India,Nec/ Not Mentioned,0,2.85,Directly by Company,FY 2023-24,Larsen And Toubro Limited
52,Stem - Existing Schools -Campus,Education,Pan India,Nec/ Not Mentioned,0,4.63,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
53,Stem National Challenge And Summit Event,Education,Pan India,Nec/ Not Mentioned,0,0.99,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
54,Support For Education Enhancement,Education,Pan India,Nec/ Not Mentioned,0,1.85,Other Implementing agencies,FY 2023-24,Larsen And Toubro Limited
55,Upgrading Facilities At Govt. Schools,Education,Pan India,Nec/ Not Mentioned,0,10.44,Directly by Company,FY 2023-24,Larsen And Toubro Limited
56,Maintenance Of Public Green Spaces,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0.91,Directly by Company,FY 2023-24,Larsen And Toubro Limited
57,Blood Donation Camps,Health Care,Pan India,Nec/ Not Mentioned,0,0.02,Directly by Company,FY 2023-24,Larsen And Toubro Limited
